pdb_id,resolution,year,binding_str,pK,has_protein,has_ligand,has_both
2tpi,2.1,1982,Kd=49uM,4.31,True,True,True
4tln,2.3,1982,Ki=190uM,3.72,True,True,True
1rnt,1.9,1987,Kd=6.5uM,5.19,True,True,True
4ts1,2.5,1989,Kd=11.6uM,4.94,True,True,True
4tmn,1.7,1989,Ki=0.068nM,10.17,True,True,True
2tmn,1.6,1989,Ki=1.3uM,5.89,True,True,True
1tlp,2.3,1989,Ki=28nM,7.55,True,True,True
1tmn,1.9,1989,Ki=50nM,7.3,True,True,True
5tmn,1.6,1989,Ki=9.1nM,8.04,True,True,True
1rbp,2.0,1991,Kd=0.19uM,6.72,True,True,True
1fkf,1.7,1991,Kd=0.4nM,9.4,True,True,True
4er1,2.0,1991,Ki=0.242uM,6.62,True,True,True
5er2,1.8,1991,Ki=0.27uM,6.57,True,True,True
4er2,2.0,1991,Ki=0.5nM,9.3,True,True,True
2ypi,2.5,1991,Ki=15uM,4.82,True,True,True
4sga,1.8,1991,Ki=50nM,7.3,True,True,True
5er1,2.0,1991,Ki=960nM,6.02,True,True,True
4tim,2.4,1992,Ki=6.9mM,5.16,True,True,True
1igj,2.5,1993,Kd=0.1nM,10.0,True,True,True
1fkb,1.7,1993,Kd=0.2nM,9.7,True,True,True
1l83,1.7,1993,Kd=0.40mM,6.4,True,True,True
1atr,2.34,1993,Kd=110nM,6.96,True,True,True
6rnt,1.8,1993,Kd=4.3mM,5.37,True,True,True
3gst,1.9,1993,Ki=0.19uM,6.72,True,True,True
1cps,2.25,1993,Ki=0.22uM,6.66,True,True,True
2gst,1.8,1993,Ki=0.85uM,6.07,True,True,True
1ppm,1.7,1993,Ki=1600nM,5.8,True,True,True
1hos,2.3,1993,Ki=2.8nM,8.55,True,True,True
1ppl,1.7,1993,Ki=2.8nM,8.55,True,True,True
1bcd,1.9,1993,Ki=2nM,8.7,True,True,True
1ivp,2.5,1993,Ki=30nM,7.52,True,True,True
1trd,2.5,1993,Ki=4uM,5.4,True,True,True
1hsl,1.89,1994,Kd=0.064uM,7.19,True,True,True
