pdb_id,resolution,year,binding_str,pK,has_protein,has_ligand,has_both
4fl1,1.79,2012,Kd=520uM,3.28,True,True,True
4eo6,1.79,2012,Kd=2nM,8.7,True,True,True
6jag,1.85,2019,Kd=31.5uM,4.5,True,True,True
4tte,1.8,2014,Kd=202uM,3.69,True,True,True
4zx4,1.9,2016,Ki=0.078uM,7.11,True,True,True
5ei3,1.71,2016,Kd=56.5uM,4.25,True,True,True
2xda,1.85,2010,Ki=0.6uM,6.22,True,True,True
3qlm,2.5,2011,Kd=0.431uM,6.37,True,True,True
4iuo,1.8,2013,Kd=0.23mM,6.64,True,True,True
2ovy,1.8,2007,Ki=4nM,8.4,True,True,True
2p4s,2.2,2008,Ki=0.31nM,9.51,True,True,True
2wnc,2.2,2009,Kd=479nM,6.32,True,True,True
5n34,1.22,2017,Kd=23.27uM,4.63,True,True,True
2vyt,1.9,2008,Kd=1.84mM,5.74,True,True,True
1v2s,1.72,2004,Ki=68uM,4.17,True,True,True
1o86,2.0,2003,Ki=0.27nM,9.57,True,True,True
5nkd,1.41,2017,Kd=26nM,7.59,True,True,True
2hmu,2.25,2006,Kd=20nM,7.7,True,True,True
3uz5,1.9,2012,Ki=0.06uM,7.22,True,True,True
4erf,2.0,2012,Kd=0.4nM,9.4,True,True,True
1syh,1.8,2005,Ki=393nM,6.41,True,True,True
3miy,1.67,2010,Kd=21nM,7.68,True,True,True
3pn1,2.0,2011,Ki=110nM,6.96,True,True,True
2ceq,2.14,2006,Ki=53nM,7.28,True,True,True
2bes,2.1,2004,Ki=57uM,4.24,True,True,True
1c5x,1.75,2000,Ki=0.21uM,6.68,True,True,True
4e67,2.1,2012,Kd=330nM,6.48,True,True,True
3kiv,1.8,1999,Kd=20uM,4.7,True,True,True
1w11,2.0,2008,Ki=6nM,8.22,True,True,True
4djx,1.5,2012,Ki=59nM,7.23,True,True,True
4zcs,2.45,2016,Kd=47uM,4.33,True,True,True
4b0b,1.9,2012,Kd=0.47mM,6.33,True,True,True
5m7s,2.4,2017,Ki=0.9nM,9.05,True,True,True
5cbr,2.0,2015,Kd=1.80uM,5.74,True,True,True
3uw4,1.79,2012,Ki=0.017uM,7.77,True,True,True
4y0a,1.91,2015,Ki=4950uM,2.31,True,True,True
3vf5,1.25,2012,Ki=0.46nM,9.34,True,True,True
1w0z,1.9,2008,Ki=21nM,7.68,True,True,True
5kz0,2.3,2016,Ki=22nM,7.66,True,True,True
1ai5,2.36,1997,Ki=0.189mM,6.72,True,True,True
3alt,2.5,2011,Kd=1.19mM,5.92,True,True,True
4oct,2.28,2014,Kd=9uM,5.05,True,True,True
5ioz,2.02,2017,Kd=11uM,4.96,True,True,True
5g5z,2.01,2017,Kd=2.2uM,5.66,True,True,True
1o2r,1.45,2003,Ki=6.1uM,5.21,True,True,True
5o2d,1.6,2017,Kd=2.1uM,5.68,True,True,True
1s89,2.22,2004,Ki=5.8uM,5.24,True,True,True
3m36,2.15,2010,Ki=0.15nM,9.82,True,True,True
4gbd,1.98,2013,Ki=0.0048nM,11.32,True,True,True
6efj,1.65,2019,Ki=477uM,3.32,True,True,True
1fao,1.8,2000,Kd=0.043uM,7.37,True,True,True
4av4,1.9,2012,Kd=94.3nM,7.03,True,True,True
2e1w,2.5,2006,Ki=11nM,7.96,True,True,True
6ckw,2.06,2018,Kd=0.83nM,9.08,True,True,True
1f4x,2.3,2000,Kd=2.6uM,5.59,True,True,True
1gj6,1.5,2002,Ki=0.10uM,7.0,True,True,True
6cpw,1.85,2018,Kd=5.6nM,8.25,True,True,True
5vkc,2.31,2017,Ki=1.8nM,8.74,True,True,True
2rcb,1.62,2008,Kd=163nM,6.79,True,True,True
6r8o,1.36,2019,Kd=0.006uM,8.22,True,True,True
5kej,2.35,2017,Kd=7.8uM,5.11,True,True,True
5fsx,2.0,2016,Kd=1.9mM,5.72,True,True,True
4qp2,2.23,2015,Kd=940uM,3.03,True,True,True
5mpz,1.4,2017,Kd=85uM,4.07,True,True,True
2xj2,2.2,2011,Kd=66nM,7.18,True,True,True
1lbf,2.05,2002,Kd=0.014uM,7.85,True,True,True
6e1y,1.22,2019,Kd=22nM,7.66,True,True,True
1fo0,2.5,2000,Kd=2.6uM,5.59,True,True,True
1xk5,2.4,2005,Kd=1.0uM,6.0,True,True,True
2wc4,1.7,2009,Kd=5.1uM,5.29,True,True,True
5wa9,1.15,2017,Kd=0.175uM,6.76,True,True,True
1uz4,1.71,2004,Ki=400uM,3.4,True,True,True
4qij,2.2,2014,Kd=2.9uM,5.54,True,True,True
6qlq,1.08,2019,Kd=31uM,4.51,True,True,True
5lz7,2.1,2016,Kd=0.53uM,6.28,True,True,True
1c5q,1.43,2000,Ki=0.44uM,6.36,True,True,True
3qt6,2.05,2011,Ki=4.3uM,5.37,True,True,True
6hly,1.4,2018,Kd=47nM,7.33,True,True,True
1jq8,2.0,2002,Ki=1.01uM,6.0,True,True,True
2e27,1.7,2007,Kd=0.45nM,9.35,True,True,True
6exj,1.8,2018,Kd=47uM,4.33,True,True,True
5ty9,1.53,2017,Kd=6.1uM,5.21,True,True,True
1drj,2.5,1995,Kd=0.040uM,7.4,True,True,True
2pvm,2.0,2008,Ki=0.36uM,6.44,True,True,True
1bv7,2.0,1998,Ki=0.05nM,10.3,True,True,True
1p1n,1.6,2003,Kd=0.16uM,6.8,True,True,True
6h77,2.1,2018,Kd=46.3nM,7.33,True,True,True
4nbk,1.94,2014,Kd=136uM,3.87,True,True,True
6j9w,1.8,2019,Kd=7.46uM,5.13,True,True,True
2wk6,2.5,2009,Ki=0.48mM,6.32,True,True,True
4bt4,1.6,2013,Ki=0.46mM,6.34,True,True,True
2xm2,1.95,2011,Ki=24uM,4.62,True,True,True
4qdk,1.7,2014,Kd=1.4uM,5.85,True,True,True
3jvs,1.9,2009,Kd=0.29uM,6.54,True,True,True
4rrg,1.93,2015,Kd=1538.5uM,2.81,True,True,True
4k7i,2.25,2014,Kd=1500uM,2.82,True,True,True
4ca8,1.99,2013,Ki=210nM,6.68,True,True,True
5ehw,1.39,2016,Kd=1005uM,3.0,True,True,True
3p9m,2.0,2011,Kd=10uM,5.0,True,True,True
6d5j,1.75,2018,Kd=0.46uM,6.34,True,True,True
3pe2,1.9,2011,Ki=0.175nM,9.76,True,True,True
